trialN,EmoResp,ConfResp,EmoRT,ConfRT,trialSuccess,StimFile,MorphLevel,Indiv,SubID
68,0,2,0.421672099997522,0.366556199995102,1,SHINEd_m31_133_mask.tif,133,m31,999
69,0,3,0.0526340999931563,0.449425699975109,1,SHINEd_f06_177_mask.tif,177,f06,999
70,1,2,0.264393099991139,0.317338499997277,1,SHINEd_f24_088_mask.tif,88,f24,999
71,1,3,0.22866600000998,0.270195699995384,1,SHINEd_f24_000_mask.tif,0,f24,999
72,1,2,0.271864400012419,0.324611999996705,1,SHINEd_m31_066_mask.tif,66,m31,999
73,0,2,0.090593099972466,0.327787599992007,1,SHINEd_f24_155_mask.tif,155,f24,999
74,0,3,0.198521799989976,0.358899699989706,1,SHINEd_m08_199_mask.tif,199,m08,999
75,0,2,0.514809400017839,0.379106799984584,1,SHINEd_f06_066_mask.tif,66,f06,999
76,0,1,0.539078500005417,0.534024299995508,1,SHINEd_m08_022_mask.tif,22,m08,999
77,0,3,0.183821799990255,0.381517100002384,1,SHINEd_m31_044_mask.tif,44,m31,999
78,0,1,0.351959299994633,0.357352499995613,1,SHINEd_f06_088_mask.tif,88,f06,999
79,1,1,0.566676799993729,0.262379499996314,1,SHINEd_f06_044_mask.tif,44,f06,999
80,1,1,0.695363999984693,0.25965239998186,1,SHINEd_f06_000_mask.tif,0,f06,999
81,0,3,0.319557400012854,0.479064499988453,1,SHINEd_f06_133_mask.tif,133,f06,999
82,0,2,0.364973899995675,0.482725100009702,1,SHINEd_m08_133_mask.tif,133,m08,999
83,0,3,0.563777500006836,0.374400700005936,1,SHINEd_f06_155_mask.tif,155,f06,999
84,0,3,0.502690799999982,0.535230000008596,1,SHINEd_m08_177_mask.tif,177,m08,999
85,1,3,0.264930300007109,0.518226900021546,1,SHINEd_f06_022_mask.tif,22,f06,999
86,1,2,0.22911300000851,0.303882399981376,1,SHINEd_f24_066_mask.tif,66,f24,999
87,0,3,0.22559220000403,0.356920400023228,1,SHINEd_f06_155_mask.tif,155,f06,999
88,0,3,0.0017068000161089,0.483752600004664,1,SHINEd_f06_177_mask.tif,177,f06,999
89,0,1,0.399693999992451,0.349946999980602,1,SHINEd_f06_088_mask.tif,88,f06,999
90,1,2,0.349810799991246,0.708861799997976,1,SHINEd_m31_066_mask.tif,66,m31,999
91,0,3,0.242561300023226,0.366906799987191,1,SHINEd_m31_199_mask.tif,199,m31,999
92,1,1,0.720958500023698,0.285804400016787,1,SHINEd_m31_088_mask.tif,88,m31,999
93,1,3,0.306245999992825,0.308517000026768,1,SHINEd_f24_022_mask.tif,22,f24,999
94,0,2,0.285084999981336,0.334719300008146,1,SHINEd_f06_177_mask.tif,177,f06,999
95,0,2,0.53979189999518,0.583808800001862,1,SHINEd_f06_088_mask.tif,88,f06,999
96,1,1,0.799110000021756,0.47546010001679,1,SHINEd_f06_022_mask.tif,22,f06,999
97,0,2,0.6339095000003,0.42338279998512,1,SHINEd_m08_133_mask.tif,133,m08,999
98,0,2,0.392441999982111,0.484154899982968,1,SHINEd_f06_199_mask.tif,199,f06,999
99,1,2,0.0222923000110313,0.494104300014442,1,SHINEd_m31_088_mask.tif,88,m31,999
100,0,3,0.48130049998872,0.36698210000759,1,SHINEd_f24_155_mask.tif,155,f24,999
101,1,3,0.514265600009821,0.283874800021295,1,SHINEd_f24_088_mask.tif,88,f24,999
102,1,3,0.304099299974041,0.267041400016751,1,SHINEd_f24_066_mask.tif,66,f24,999
103,1,1,0.487182100012433,0.373843200010015,1,SHINEd_m31_088_mask.tif,88,m31,999
104,1,3,0.355921400012448,0.318180100002792,1,SHINEd_f24_022_mask.tif,22,f24,999
105,0,3,0.363333999994211,0.286101300007431,1,SHINEd_m31_199_mask.tif,199,m31,999
106,0,2,0.366493500012439,0.277878699998837,1,SHINEd_m31_155_mask.tif,155,m31,999
107,0,3,0.311190999986138,0.333663800003706,1,SHINEd_m31_177_mask.tif,177,m31,999
108,0,3,0.337335699994583,0.531816700007766,1,SHINEd_f24_133_mask.tif,133,f24,999
109,0,3,0.483641899976647,0.372319899994181,1,SHINEd_f24_177_mask.tif,177,f24,999
110,0,2,0.558084799995413,0.318092300003627,1,SHINEd_m08_111_mask.tif,111,m08,999
111,1,3,0.295861699996749,0.340158900013193,1,SHINEd_f24_088_mask.tif,88,f24,999
112,1,3,0.277742899983423,0.349851399980253,1,SHINEd_f24_066_mask.tif,66,f24,999
113,1,3,0.202831600006903,0.310548999987077,1,SHINEd_m08_022_mask.tif,22,m08,999
114,0,2,0.428842199995415,0.316394499997841,1,SHINEd_m31_133_mask.tif,133,m31,999
115,0,2,0.180709600012051,0.254018999985419,1,SHINEd_f24_111_mask.tif,111,f24,999
116,0,3,0.310344999976223,0.287386499985587,1,SHINEd_f24_133_mask.tif,133,f24,999
117,1,2,0.0716866999864578,0.547637400013627,1,SHINEd_m08_044_mask.tif,44,m08,999
118,1,1,0.407954499998596,0.284720099996775,1,SHINEd_m31_066_mask.tif,66,m31,999
119,1,3,0.292172600020422,0.28499450001982,1,SHINEd_f24_066_mask.tif,66,f24,999
120,0,1,0.271375200012699,0.54065849998733,1,SHINEd_m31_133_mask.tif,133,m31,999
121,0,3,0.343888400006108,0.550225699989824,1,SHINEd_f24_199_mask.tif,199,f24,999
122,1,3,0.200922399992123,0.422705899982248,1,SHINEd_m31_044_mask.tif,44,m31,999
123,1,3,0.391045199998189,0.301848699979018,1,SHINEd_f24_044_mask.tif,44,f24,999
124,0,3,0.343086100008804,0.542500299983658,1,SHINEd_m08_199_mask.tif,199,m08,999
125,0,1,0.320094199996674,0.326653700001771,1,SHINEd_m31_111_mask.tif,111,m31,999
126,0,1,0.593395100004273,0.51710679999087,1,SHINEd_m31_155_mask.tif,155,m31,999
127,1,3,0.208212199999252,0.338027299992973,1,SHINEd_f06_000_mask.tif,0,f06,999
128,0,1,0.480811699992046,0.309050599986222,1,SHINEd_m31_111_mask.tif,111,m31,999
129,0,1,0.382487900002161,0.938606899988372,1,SHINEd_m08_088_mask.tif,88,m08,999
130,0,3,0.286180800001603,0.447107899992261,1,SHINEd_m08_177_mask.tif,177,m08,999
131,0,2,0.425216999981785,0.299930599983782,1,SHINEd_m08_155_mask.tif,155,m08,999
