trialN,EmoResp,ConfResp,EmoRT,ConfRT,trialSuccess,StimFile,MorphLevel,Indiv,SubID
1,0,NaN,0.981047300039791,NaN,1,SHINEd_m31_111_mask.tif,111,m31,998
2,1,NaN,0.363223100022878,NaN,1,SHINEd_f06_066_mask.tif,66,f06,998
3,0,NaN,0.258414800046012,NaN,1,SHINEd_m08_088_mask.tif,88,m08,998
4,0,NaN,0.604126300022472,NaN,1,SHINEd_f06_199_mask.tif,199,f06,998
5,1,NaN,0.73584000003757,NaN,1,SHINEd_f24_044_mask.tif,44,f24,998
6,0,NaN,0.302320700022392,NaN,1,SHINEd_f24_155_mask.tif,155,f24,998
7,1,NaN,0.283722200023476,NaN,1,SHINEd_f24_022_mask.tif,22,f24,998
8,1,NaN,1.20067559997551,NaN,1,SHINEd_m31_044_mask.tif,44,m31,998
9,1,NaN,0.434737099974882,NaN,1,SHINEd_f06_000_mask.tif,0,f06,998
10,0,NaN,0.765118399984203,NaN,1,SHINEd_f06_066_mask.tif,66,f06,998
11,1,NaN,0.408462900028098,NaN,1,SHINEd_f06_000_mask.tif,0,f06,998
12,0,NaN,0.31282839999767,NaN,1,SHINEd_m31_111_mask.tif,111,m31,998
13,0,NaN,0.26507619995391,NaN,1,SHINEd_f24_199_mask.tif,199,f24,998
14,0,NaN,0.348739399982151,NaN,1,SHINEd_f06_199_mask.tif,199,f06,998
15,0,NaN,0.356253499980085,NaN,1,SHINEd_m08_199_mask.tif,199,m08,998
16,1,NaN,0.713633699982893,NaN,1,SHINEd_m08_088_mask.tif,88,m08,998
17,0,NaN,0.375525599985849,NaN,1,SHINEd_f24_177_mask.tif,177,f24,998
18,0,NaN,0.253176499973051,NaN,1,SHINEd_m08_199_mask.tif,199,m08,998
19,0,NaN,0.505351800005883,NaN,1,SHINEd_m31_177_mask.tif,177,m31,998
20,0,NaN,0.240261500002816,NaN,1,SHINEd_f24_177_mask.tif,177,f24,998
21,1,NaN,0.224499100004323,NaN,1,SHINEd_f06_022_mask.tif,22,f06,998
22,0,NaN,0.235252999991644,NaN,1,SHINEd_f06_177_mask.tif,177,f06,998
23,1,NaN,0.282054200011771,NaN,1,SHINEd_m31_022_mask.tif,22,m31,998
24,0,NaN,0.6560764000169,NaN,1,SHINEd_m08_111_mask.tif,111,m08,998
25,0,NaN,0.319935500039719,NaN,1,SHINEd_f24_199_mask.tif,199,f24,998
26,1,NaN,0.505875299975742,NaN,1,SHINEd_m08_066_mask.tif,66,m08,998
27,0,NaN,0.284418799972627,NaN,1,SHINEd_f24_111_mask.tif,111,f24,998
28,1,NaN,0.117619499971624,NaN,1,SHINEd_m31_000_mask.tif,0,m31,998
29,0,NaN,0.273893300036434,NaN,1,SHINEd_m31_199_mask.tif,199,m31,998
30,0,NaN,0.268977899977472,NaN,1,SHINEd_f24_155_mask.tif,155,f24,998
31,0,NaN,0.348057200026233,NaN,1,SHINEd_m31_177_mask.tif,177,m31,998
32,1,NaN,0.272187399968971,NaN,1,SHINEd_m31_022_mask.tif,22,m31,998
33,1,NaN,0.243706999986898,NaN,1,SHINEd_f06_000_mask.tif,0,f06,998
34,0,NaN,0.326152499997988,NaN,1,SHINEd_m08_199_mask.tif,199,m08,998
35,0,NaN,0.401974000036716,NaN,1,SHINEd_m08_088_mask.tif,88,m08,998
36,0,NaN,0.48540490004234,NaN,1,SHINEd_m31_088_mask.tif,88,m31,998
37,1,NaN,0.240016900002956,NaN,1,SHINEd_f06_022_mask.tif,22,f06,998
38,0,NaN,0.251793399977032,NaN,1,SHINEd_m31_155_mask.tif,155,m31,998
39,0,NaN,0.257196800026577,NaN,1,SHINEd_f06_111_mask.tif,111,f06,998
40,0,NaN,0.396654099982698,NaN,1,SHINEd_m08_111_mask.tif,111,m08,998
41,1,NaN,0.361453599995002,NaN,1,SHINEd_f24_111_mask.tif,111,f24,998
42,1,NaN,0.365764400048647,NaN,1,SHINEd_f24_000_mask.tif,0,f24,998
43,0,NaN,0.377136999974027,NaN,1,SHINEd_f24_177_mask.tif,177,f24,998
44,0,NaN,0.864740899996832,NaN,1,SHINEd_m08_088_mask.tif,88,m08,998
45,0,NaN,0.716638100042474,NaN,1,SHINEd_m31_155_mask.tif,155,m31,998
46,0,NaN,0.359133799967822,NaN,1,SHINEd_f24_177_mask.tif,177,f24,998
47,1,NaN,0.366917699982878,NaN,1,SHINEd_f24_088_mask.tif,88,f24,998
48,1,NaN,0.435644299956039,NaN,1,SHINEd_m08_022_mask.tif,22,m08,998
49,1,NaN,0.450458500010427,NaN,1,SHINEd_m08_000_mask.tif,0,m08,998
50,0,NaN,0.615416100015864,NaN,1,SHINEd_m08_155_mask.tif,155,m08,998
51,1,NaN,0.609748899994884,NaN,1,SHINEd_m31_133_mask.tif,133,m31,998
52,0,NaN,0.375216900021769,NaN,1,SHINEd_m08_177_mask.tif,177,m08,998
53,1,NaN,0.477050599991344,NaN,1,SHINEd_m31_088_mask.tif,88,m31,998
54,0,NaN,0.40699659998063,NaN,1,SHINEd_f24_111_mask.tif,111,f24,998
55,1,NaN,0.480018800008111,NaN,1,SHINEd_f24_044_mask.tif,44,f24,998
56,1,NaN,0.440929599979427,NaN,1,SHINEd_f24_066_mask.tif,66,f24,998
57,0,NaN,0.408579999988433,NaN,1,SHINEd_m08_133_mask.tif,133,m08,998
58,0,NaN,0.346680900023784,NaN,1,SHINEd_m08_111_mask.tif,111,m08,998
59,1,NaN,0.4082439999911,NaN,1,SHINEd_m31_066_mask.tif,66,m31,998
60,1,NaN,0.493700100050773,NaN,1,SHINEd_f24_088_mask.tif,88,f24,998
61,0,NaN,0.319807199994102,NaN,1,SHINEd_f24_133_mask.tif,133,f24,998
62,1,NaN,0.317427200032398,NaN,1,SHINEd_m08_022_mask.tif,22,m08,998
63,1,NaN,0.379377399978694,NaN,1,SHINEd_f06_000_mask.tif,0,f06,998
64,1,NaN,1.0312826000154,NaN,1,SHINEd_m08_000_mask.tif,0,m08,998
65,1,NaN,0.350295500014909,NaN,1,SHINEd_m31_044_mask.tif,44,m31,998
66,1,NaN,0.300591700011864,NaN,1,SHINEd_f24_066_mask.tif,66,f24,998
67,0,NaN,0.29199170001084,NaN,1,SHINEd_f06_155_mask.tif,155,f06,998
68,0,NaN,0.806950300000608,NaN,1,SHINEd_m31_133_mask.tif,133,m31,998
69,0,NaN,0.229080899967812,NaN,1,SHINEd_f06_177_mask.tif,177,f06,998
70,1,NaN,0.407788800017443,NaN,1,SHINEd_f24_088_mask.tif,88,f24,998
71,1,NaN,0.193037100019865,NaN,1,SHINEd_f24_000_mask.tif,0,f24,998
72,0,NaN,0.338813500013202,NaN,1,SHINEd_f06_111_mask.tif,111,f06,998
73,0,NaN,0.287804200022947,NaN,1,SHINEd_m08_088_mask.tif,88,m08,998
74,0,NaN,0.359375300002284,NaN,1,SHINEd_f06_066_mask.tif,66,f06,998
75,1,NaN,0.509347099985462,NaN,1,SHINEd_m08_022_mask.tif,22,m08,998
